"category","text_prompt"
"Human_CloseUp","Style: cinematic-realistic, In a medium close-up at eye level with a 50mm lens, a man in his early 40s is sitting by a train window as warm film-like tones and hard midday sun are washing over his cheek and the bridge of his nose. He is looking down for a moment, his thumb is rubbing the edge of a folded paper just out of focus near his chest, while the low rattle of the carriage and a muted rail hum are running beneath the scene. As the light is flickering gently across his face, he is lifting his eyes toward the glass, and his brow is tightening before relaxing. Then he is swallowing, one corner of his mouth is shifting as if he is about to say something, and a distant door clunk is sounding from farther down the carriage. The seat fabric and window frame are staying softly blurred behind him, holding the frame on the slight movement around his eyes and the paper turning once between his fingers."
"Object_Product","Style: cinematic-realistic, A glazed pear tart is sitting on a ceramic plate near a window as late blue evening light is mixing with a soft overhead lamp, showing the flaky layers of pastry, the smooth fruit slices, and a light sheen of syrup across the surface. The camera is starting in a tight macro close-up on the browned crust, 85mm macro lens at f/2.8, then slowly pushing in toward the center while the faint crackle of cooling pastry is sitting under the low hum of a refrigerator in the next room. Meanwhile a small fork is resting beside the plate, catching a narrow highlight, and the camera is easing into a gentle pull-back to reveal a folded linen napkin and scattered crumbs in soft focus, letting the glossy glaze, rough ceramic, and delicate sugar crystals remain the main detail."
"Nature_Landscape","Style: moody naturalistic, A broad mountain valley is filling with fast-moving weather, tall pines are bending as wind is sweeping through the tree line and a cold river is surging over pale stones in the foreground. Shot in a wide frame with a 24mm lens, the camera is remaining low near the riverbank and is slowly panning across the valley while mist is trailing along the slopes. The river is churning with a steady rush, then loose branches are tapping and scraping together as stronger gusts are passing through the forest. Meanwhile, dense clouds are spilling over the ridge, patches of sunlight are sliding across the grass before fading again, and fine rain is beginning to hiss against the water as the deeper roll of thunder is spreading through the mountains."
"Human_CloseUp","Style: warm documentary, In a medium close-up at eye level with a 50mm lens, a woman in her early 40s is standing near a bathroom mirror under soft overhead light, a gentle rim light from a nearby doorway outlining her hair. The faint drip of a tap and the distant murmur of another room are carrying through the still air as she is leaning one hand against the sink. She is looking at her reflection, then her fingers are reaching up to smooth the skin beneath one eye while her lips are pressing together and easing apart again. As she is lowering her hand, a loose strand of hair is catching at her cheek and she is tucking it back with a careful motion. Meanwhile her shoulders are settling, her chin is lifting a fraction, and the blurred tiles behind her are holding steady as her expression is changing through a slight narrowing of the eyes and a quieter, more even breath."
"Human_CloseUp","Style: cinematic-realistic, In a medium close-up at eye level with a 50mm lens, a woman in her late 20s is standing in a small bathroom beneath soft overhead light, the background mirror and tiled wall falling gently out of focus. She is leaning toward the sink while a tap is running in a thin stream, its steady trickle mixing with the quiet buzz of an exhaust fan. Her fingertips are pressing lightly against the counter, then one hand is lifting to wipe beneath her eye as she is watching her reflection. Her lips are parting, and she is swallowing once before her shoulders are easing down. As the water is continuing to run, she is turning the tap closed with a careful motion, and the room is settling into a softer hum while she is holding still, breathing through her nose and keeping her gaze fixed ahead."
"Cinematic_Scene","Style: sci-fi cinematic, A young engineer is crouching beneath a narrow service hatch inside a quiet spacecraft corridor, her face is lit by soft panel light and a thin red warning strip along the wall. In a medium close shot on an 85mm lens, the camera is framing her hands as they are fitting a data key into a hidden port while the ship is thrumming gently around her. She is glancing up at the sealed door ahead, then the camera is tilting up with her line of sight to reveal frost spreading across its metal seams. A slow alarm pulse is beginning to sound, blending with the faint hiss of recycling air as footsteps are approaching from the far end of the corridor. Meanwhile she is backing to her feet and wiping grease onto her sleeve. A voice over the intercom speaks in a calm filtered tone, ""Step away from the door."" She is holding still for a beat, then is sliding the hatch closed with a soft metallic click."
"Human_CloseUp","Style: cinematic-realistic with warm film tones, In a close-up with an 85mm lens and shallow depth of field, a woman in her late 20s is standing just inside a sunlit doorway as harsh midday light is falling across one side of her face and leaving the other in soft shadow. She is narrowing her eyes slightly and lifting a hand to the back of her neck while faint street noise and a passing bicycle chain are drifting in from outside. As she is turning her head toward the light, her lips are pressing together, then easing apart, and a small breath is catching in her throat. Her fingertips are sliding forward to smooth the collar of her shirt while a ceiling fan is clicking quietly somewhere deeper in the room. The blurred background is holding only a plain wall and the edge of a window frame, keeping attention on the slight tension in her jaw and the brief shift in her gaze."
"Human_CloseUp","Style: cinematic-realistic, In a close-up with an 85mm lens and shallow depth of field, a young man is sitting by a train window under soft late-day light with a faint rim light tracing his cheek and ear. His gaze is resting outside for a moment as the low rattle of the carriage and a muted track rhythm are passing beneath the quiet cabin. He is drawing a slow breath, then his thumb is rubbing the edge of a folded ticket in his hand while his jaw is tightening slightly. As the window light shifts across his face, his eyes are blinking once and settling lower, and a small movement is appearing at one corner of his mouth as if he is reconsidering something. Meanwhile the blurred seat fabric and pale glass behind him are staying still, keeping the focus on the slight lift of his eyebrows and the careful way he is holding the ticket near his chest."
"Human_CloseUp","Style: warm documentary, A young woman is sitting alone near the back of a nearly empty late-night bus, framed in a medium close-up from the aisle with a 50mm lens as the background is falling softly out of focus. Midnight streetlight is passing across her face in gentle bands, and a thin rim light from the window is catching the edge of her hair while the bus engine is idling under the quiet rattle of loose panels. She is pressing one sleeve between her fingers, then smoothing it over her wrist as distant tires are hissing on wet pavement outside. Meanwhile she is glancing toward the glass, her eyes are following her faint reflection, and then she is turning back toward the seat ahead, her shoulders settling as her mouth is softening into a slight, restrained smile."
"Human_Action","Style: cinematic-realistic, In a slow dolly forward with a 50mm lens, a young woman in a dark winter coat and knit hat is jogging along a snow-covered park path at golden hour, her full stride staying steady as her breath is clouding in the cold air. Packed snow is crunching under her shoes while distant traffic is humming beyond the bare trees. She is lifting her knees higher as the path turns, then she is brushing a few loose strands of hair from her cheek without breaking pace. Her face is flushed, her mouth is slightly open, and her arms are swinging in an even rhythm while warm low sunlight is catching the edge of her coat and the frost on the benches beside her."
"Cinematic_Scene","Style: neo-noir thriller, At noon, hard daylight is falling through half-closed blinds across a narrow office as a woman in a dark coat is standing beside a metal desk, one hand is hovering over a ringing phone. In a medium shot with a 50mm lens, she is letting it ring twice, the dry buzz mixing with the ceiling fan's soft rattle and distant traffic below. She is picking up the receiver without speaking, then a man's voice is coming through, low and steady, ""You are late."" As she is turning toward the window, the camera is moving in a slow lateral dolly, revealing a second chair pulled slightly back from the desk and a glass of water with faint ice clicks. She is lowering her gaze to the street, her jaw is tightening, while somewhere in the hallway an elevator bell is chiming and footsteps are approaching, measured and close."
"Cinematic_Scene","Style: afternoon noir thriller with warm film tones, In a static wide shot with a 35mm lens, a man in a dark coat is waiting beneath the shade of an arcade as late sunlight is reflecting off parked cars at the edge of the street. A ceiling fan inside the nearby cafe is humming through the open door, blending with the faint rattle of dishes and the slow passing of a bus. He is checking the corner of his watch, then is looking up as a woman is crossing toward him, her shoes clicking evenly on the pavement. She is stopping just outside arm's reach while a loose awning rope is tapping against a metal pole overhead. Without meeting his eyes, she is speaking in a dry, steady voice, ""You were followed."" In a subtle lateral track, the camera is shifting with him as he is glancing past her shoulder toward the bright street, where a car engine is idling too long."
"Cinematic_Scene","Style: sci-fi cinematic, In a static wide shot on a 35mm lens, a lone technician is standing in a dim control room as blue monitor light is washing over metal consoles and a steady ventilation hum is filling the space. She is pulling off one glove, then is pressing her thumb to a glass panel while quiet confirmation tones are chiming beneath the hum. Far beyond the window, a large station ring is turning slowly against the night side of a planet. She is leaning closer, her jaw is tightening, and a faint crackle is coming through her earpiece before a man's calm voice is saying, ""Do it now."" Meanwhile a red warning strip is blinking above the sealed door, and the latch is clunking once as if pressure is shifting in the corridor outside. She is reaching for a small lever, hesitating for a beat, then is drawing it down while the room's low machinery note is dropping into a heavier throb."
"Human_Action","Style: cinematic-realistic, A woman in a dark rain jacket is jogging along a misty riverside path before dawn, her breath is showing faintly in the cool air as soft moonlight is catching the damp fabric on her shoulders. Shot on a 35mm lens, the camera is tracking beside her with a subtle handheld sway. Her arms are pumping in an even rhythm while her shoes are striking the wet gravel with muted crunches, and a distant bridge is humming softly behind her. She is glancing ahead, then easing around a shallow puddle as water is giving a light splash under one foot, while her loose ponytail is flicking against the back of her neck. As the path is curving under bare trees, she is slowing to a steady recovery pace, drawing one deep breath through parted lips while the rustle of leaves and her fading footfalls are blending into the quiet morning air."
"Human_Action","Style: warm documentary, A man in a gray hoodie and running shorts is jogging along a riverside path at first light, his breath visible in the cool air as his arms are swinging in a relaxed rhythm and his stride is landing lightly on the damp pavement. The camera is following in a steady medium tracking shot from the side with a 50mm lens, keeping his full body and face in frame while his shoes are tapping a soft beat that blends with distant birds and the faint rush of water. He is glancing ahead, then easing faster as the path curves, his jaw tightening slightly and sweat darkening the fabric at his chest. Meanwhile another runner is passing in the far background, and he is lifting one hand in a brief greeting without breaking pace, then slowing near a bench and bending forward with his hands on his thighs as his breathing is settling into the quiet morning."
"Human_CloseUp","Style: cinematic-realistic, In a close-up with an 85mm lens and shallow depth of field, a man in his early 40s is sitting by a train window in soft afternoon light with a pastel-soft film grade. His jaw is tightening slightly as his thumb is rubbing the edge of a folded ticket just out of focus near his chest, while the low rattle of the carriage and a faint air vent hum are threading through the quiet. He is looking out the window, then his eyes are shifting down as a weak reflection is catching across one cheek. His lips are pressing together, and a small breath is leaving through his nose as distant track noise is rising and settling beneath the muffled murmur of unseen passengers. Meanwhile, his free hand is reaching up to smooth the collar of his coat, and the blurred seat fabric behind him is holding still in the background."
"Urban_Architecture","Style: cinematic-realistic, Early morning light is catching on a row of glass towers as delivery vans are easing along a narrow downtown street lined with stone facades and metal fire escapes. The camera is holding a low-angle wide shot near the curb, then tilting up between the buildings to reveal stacked windows and rooftop equipment while a bus is sighing to a stop and its brakes are mixing with distant horns. Commuters are crossing at the corner in steady lines, coats shifting in the light wind, as a cyclist is slipping past a parked truck and traffic signals are changing from red to green. Puddles left from overnight rain are reflecting headlights and pale sky, while a street cleaner is moving slowly along the gutter, its soft mechanical whir blending with footsteps and the muted rumble of the avenue beyond."
"Human_Action","Style: warm documentary, In a small home kitchen, a woman with tied-back hair, a plain apron, and flour on her forearms is shaping bread dough on a wooden counter under soft overhead light. The camera is holding a steady medium shot on an 85mm lens, following her full figure as she is leaning her weight forward, folding the dough, then turning it with practiced hands while the quiet scrape of dough against wood is mixing with the low hum of the refrigerator. She is dusting the surface with a little flour, patting the round loaf smooth, then reaching for a metal tray as it gives a light clink. Meanwhile, she is brushing a loose strand of hair from her cheek with her wrist, sliding the loaf onto the tray, and opening the oven as the door is creaking softly. Warm air is rising toward her face while she is setting the tray inside and easing the door shut."
"Human_CloseUp","Style: cinematic-realistic with a saturated film look, In a close-up framed with an 85mm lens and shallow depth of field, a young man is sitting by a rain-dimmed apartment window under soft side light, his face filling the frame while the background is falling gently out of focus. He is holding a ceramic mug just below his chin as faint traffic hiss and a radiator’s low rattle are mixing with the light tap of rain on glass. His eyes are shifting toward the street, then settling on his reflection, while his thumb is tracing the mug’s rim and one corner of his mouth is tightening before easing into a slight, uneven smile. As he is breathing out, a small fog of warmth is rising near the cup, and his shoulders are lowering a fraction while the muted room behind him is remaining still."
"Human_Action","Style: cinematic-realistic, A young baker with tied-back hair and a flour-dusted apron is standing at a wooden counter in a quiet kitchen at dawn, her sleeves rolled to the elbows as she is folding soft dough with steady, practiced motions. The camera is holding a medium tracking shot at waist height with a gentle push-in, following her full posture as she is leaning her weight forward, then drawing the dough back while the muted scrape of the bench scraper is mixing with the low hum of a refrigerator. She is turning the dough, pressing it flat, then reaching for a small bowl of seeds as a kettle is beginning to murmur in the background. Her brow is slightly furrowed, her mouth set in a faint line, while she is sprinkling the top evenly and sliding the loaf into a metal pan under soft window light."
"Human_Action","Style: cinematic-realistic, A young man is running along a humid city riverwalk at midnight, his dark T-shirt is clinging to his back and his breathing is growing louder than the soft hiss of tires on a distant road. The camera is tracking beside him in a steady medium shot with a 50mm lens, keeping his full stride, focused face, and pumping arms in frame as streetlights are reflecting on the damp pavement. He is wiping sweat from his brow without breaking pace, then he is slowing near a railing while water is lapping below and a loose drawstring is tapping against his shorts. He is bending forward with his hands on his knees, chest rising and falling, then he is straightening and stretching one calf against the rail as a train is rumbling faintly in the background and warm night air is hanging over the walkway."
"Human_Dialogue","Style: warm documentary, A father and teenage daughter are sitting side by side on a wooden porch during golden hour, facing the yard while soft evening light is falling across their faces. The camera is framing them in a medium two-shot from a slight angle, 50mm lens, with the background gently softened. Crickets are starting to pulse in the grass as the daughter is rubbing her thumb along the rim of a mug and looking over with raised brows. She is speaking in a careful, quiet voice, ""I can try."" He is exhaling through his nose, leaning back, while the porch boards are giving a faint creak under his shift in weight. Then he is turning toward her with a small smile and answering in a warm, gravelly voice, ""That's enough."""
"Human_CloseUp","Style: cinematic-realistic, A man in his thirties is standing by a kitchen sink at midnight, his face filling a close-up frame as the camera is holding at eye level on an 85mm lens with shallow depth of field. Cool window light and a faint rim light from the hallway are outlining his cheek and ear while the low hum of the refrigerator is blending with the soft drip of a faucet. He is rubbing his thumb along the edge of a ceramic mug, then lifting it without drinking, his jaw is tightening slightly as he is looking down into the cup. A floorboard is creaking somewhere behind him while he is drawing a slow breath through his nose, then he is raising his eyes toward the dark window, a slight shift in his brow and a loose parting of his lips suggesting a change in thought."
"Human_Dialogue","Style: warm documentary, Two coworkers are standing beside a studio worktable in a sunlit apartment kitchen during mid-morning, pale backlight from the window catching the edge of their hair while a soft ceiling light is keeping their faces clear. The camera is framing them in a medium shot at chest height, 35mm lens, with bowls and folded towels softly out of focus behind them. A kettle is humming quietly as the woman on the right is tapping one finger on the table and speaking in a low, practical voice, ""Try this angle."" The man is leaning in, one shoulder slightly raised, while ceramic cups are clicking softly as he is adjusting a small object in his hands, then he is glancing up and answering in an easy voice, ""Better now."" She is giving a brief nod, lips pressing into a slight smile as the kettle is settling into a faint hiss."
"Object_Product","Style: cinematic-realistic, A chilled glass bottle is standing on a stainless steel counter in a quiet diner at noon, pale daylight is filtering through the window while a soft blue neon strip is reflecting along the curved surface and catching beads of condensation. The camera is beginning in an extreme close-up on the wet glass with a 100mm macro lens, tiny droplets are trembling as the low hum of a refrigerator and a distant ice rattle are blending into the room tone, then it is making a slow orbit around the bottle as the metal cap, fine scratches in the counter, and faint reflections in the glass are coming into view. Meanwhile a hand is sliding a folded napkin beside it with a dry paper whisper, and the camera is pulling back slightly to reveal a simple plate with citrus slices in soft focus behind the bottle."
"Cinematic_Scene","Style: sci-fi cinematic, A young engineer is moving through a narrow spacecraft corridor under soft overhead light, her breath is catching slightly inside her headset as a 24mm wide-angle lens is tracking backward in a close medium shot. Cooling fans are whirring through the walls, and somewhere deeper in the ship a loose panel is rattling in uneven beats while she is running her hand along the seam of a sealed hatch. She is stopping as a muted alarm is pulsing, then the camera is settling into a tighter angle over her shoulder while she is entering a code with unsteady fingers. The hatch is unlocking with a heavy click, and cold air is spilling out as tiny frost crystals are clinging to the frame. Inside the dark compartment, a voice over the intercom is breaking in softly, ""Do not open it."" She is staring into the gap as the fans are dropping to a low hum."
"Human_CloseUp","Style: cinematic-realistic, A man in his thirties is sitting alone at a kitchen table at twilight, a dim overhead light and fading window light are softening the lines of his face. The camera is holding a medium close-up at eye level with an 85mm lens, shallow depth of field keeping the background sink and curtain blurred. He is rubbing his thumb along the edge of a ceramic mug as the quiet tick of a wall clock is filling the room and a refrigerator is humming behind him. He is lifting the cup halfway, then pausing as if reconsidering, while his jaw is tightening slightly and his eyes are settling on something out of frame. A floorboard is creaking faintly as he is exhaling through his nose, then he is lowering the mug and pressing his lips together, his gaze drifting back toward the window."
"Human_Action","Style: warm documentary, A man in running clothes is jogging along a sunny riverside path, his shoulders are settling into rhythm and his breath is coming evenly as his shoes are tapping a steady pattern on the pavement. The camera is tracking beside him in a medium shot on a 50mm lens, holding his full stride and the slight tightening around his eyes while trees are casting broken shade across his legs. He is glancing ahead, then easing around a parked bicycle as the chain is clinking lightly in the breeze and distant water is lapping against the embankment. Meanwhile his arms are swinging close to his sides, sweat is darkening the back of his shirt, and he is quickening for a short stretch toward a bench. He is slowing there, bending with hands on his knees, then straightening to roll his shoulders as birds are calling overhead and traffic is humming far behind the park."
"Human_Action","Style: cinematic-realistic, In a low tracking shot with a fisheye lens, a young man is running along a damp riverside path in the evening, his full stride stretching forward while his shoulders are rolling with each breath. Soft streetlights are casting long shadows across the pavement as his shoes are striking the ground in a quick steady beat, and the faint rush of water is blending with his breathing. He is glancing ahead, jaw set, then easing around a corner as the camera is following beside him. Meanwhile, another runner is passing in the far background, softly out of focus. He is slowing near a bench, hands settling on his hips, chest rising and falling, while a distant bicycle chain is rattling past and leaves are skimming lightly across the path in the cool air."
